time,daylight_seconds
1981-11-10,49020
1981-11-11,49140
1981-11-12,49200
1981-11-13,49320
1981-11-14,49380
1981-11-15,49500
1981-11-16,49620
1981-11-17,49680
1981-11-18,49800
1981-11-19,49800
1981-11-20,49920
1981-11-21,49980
1981-11-22,50040
1981-11-23,50160
1981-11-24,50220
1981-11-25,50280
1981-11-26,50400
1981-11-27,50460
1981-11-28,50520
1981-11-29,50520
1981-11-30,50580
1981-12-01,50700
1981-12-02,50760
1981-12-03,50820
1981-12-04,50880
1981-12-05,50880
1981-12-06,50940
1981-12-07,51000
1981-12-08,51060
1981-12-09,51060
1981-12-10,51060
1981-12-11,51120
1981-12-12,51180
1981-12-13,51180
1981-12-14,51180
1981-12-15,51240
1981-12-16,51240
1981-12-17,51240
1981-12-18,51240
1981-12-19,51300
1981-12-20,51300
1981-12-21,51300
1981-12-22,51300
1981-12-23,51300
1981-12-24,51240
1981-12-25,51300
1981-12-26,51240
1981-12-27,51240
1981-12-28,51240
1981-12-29,51180
1981-12-30,51120
1981-12-31,51180
1982-01-01,51120
1982-01-02,51060
1982-01-03,51000
1982-01-04,51000
1982-01-05,51000
1982-01-06,50940
1982-01-07,50880
1982-01-08,50820
1982-01-09,50820
1982-01-10,50760
1982-01-11,50640
1982-01-12,50580
1982-01-13,50520
1982-01-14,50460
1982-01-15,50400
1982-01-16,50340
1982-01-17,50220
1982-01-18,50160
1982-01-19,50160
1982-01-20,50040
1982-01-21,49980
1982-01-22,49920
1982-01-23,49800
1982-01-24,49740
1982-01-25,49620
1982-01-26,49560
1982-01-27,49440
1982-01-28,49320
1982-01-29,49260
1982-01-30,49140
1982-01-31,49080
1982-02-01,48960
1982-02-02,48840
1982-02-03,48720
1982-02-04,48660
1982-02-05,48540
1982-02-06,48420
1982-02-07,48300
1982-02-08,48240
1982-02-09,48180
1982-02-10,48060
1982-02-11,47940
1982-02-12,47820
1982-02-13,47700
1982-02-14,47580
1982-02-15,47460
1982-02-16,47340
1982-02-17,47220
1982-02-18,47160
1982-02-19,47040
1982-02-20,46920
1982-02-21,46800
1982-02-22,46680
1982-02-23,46560
1982-02-24,46380
1982-02-25,46320
1982-02-26,46200
1982-02-27,46080
1982-02-28,45960
1982-03-01,45840
1982-03-02,45720
1982-03-03,45600
1982-03-04,45480
1982-03-05,45360
1982-03-06,45240
1982-03-07,45120
1982-03-08,45000
1982-03-09,44880
1982-03-10,44760
1982-03-11,44640
1982-03-12,44520
1982-03-13,44400
1982-03-14,44220
1982-03-15,44160
1982-03-16,44040
1982-03-17,43920
1982-03-18,43800
1982-03-19,43680
1982-03-20,43560
1982-03-21,43380
1982-03-22,43320
1982-03-23,43200
1982-03-24,43020
1982-03-25,42960
1982-03-26,42840
1982-03-27,42720
1982-03-28,42600
1982-03-29,42480
1982-03-30,42360
1982-03-31,42180
1982-04-01,42120
1982-04-02,42000
1982-04-03,41880
1982-04-04,41760
1982-04-05,41640
1982-04-06,41520
1982-04-07,41400
1982-04-08,41280
1982-04-09,41160
1982-04-10,41100
1982-04-11,40980
1982-04-12,40800
1982-04-13,40680
1982-04-14,40620
1982-04-15,40500
1982-04-16,40380
1982-04-17,40260
1982-04-18,40140
1982-04-19,40020
1982-04-20,39960
1982-04-21,39840
1982-04-22,39720
1982-04-23,39600
1982-04-24,39540
1982-04-25,39420
1982-04-26,39300
1982-04-27,39240
1982-04-28,39120
1982-04-29,39000
1982-04-30,38940
1982-05-01,38820
1982-05-02,38700
1982-05-03,38580
1982-05-04,38520
1982-05-05,38400
1982-05-06,38280
1982-05-07,38220
1982-05-08,38100
1982-05-09,38040
1982-05-10,37920
1982-05-11,37860
1982-05-12,37740
1982-05-13,37680
1982-05-14,37620
1982-05-15,37500
1982-05-16,37440
1982-05-17,37380
1982-05-18,37260
1982-05-19,37200
1982-05-20,37140
1982-05-21,37080
1982-05-22,36960
1982-05-23,36960
1982-05-24,36840
1982-05-25,36780
1982-05-26,36720
1982-05-27,36660
1982-05-28,36600
1982-05-29,36540
1982-05-30,36480
1982-05-31,36480
1982-06-01,36360
1982-06-02,36300
1982-06-03,36300
1982-06-04,36240
1982-06-05,36240
1982-06-06,36120
1982-06-07,36120
1982-06-08,36060
1982-06-09,36060
1982-06-10,36000
1982-06-11,36000
1982-06-12,36000
1982-06-13,35940
1982-06-14,35940
1982-06-15,35940
1982-06-16,35880
1982-06-17,35880
1982-06-18,35940
1982-06-19,35880
1982-06-20,35880
1982-06-21,35880
1982-06-22,35880
1982-06-23,35880
1982-06-24,35880
1982-06-25,35880
1982-06-26,35880
1982-06-27,35940
1982-06-28,35940
1982-06-29,36000
1982-06-30,36000
1982-07-01,36000
1982-07-02,36060
1982-07-03,36060
1982-07-04,36120
1982-07-05,36120
1982-07-06,36180
1982-07-07,36180
1982-07-08,36240
1982-07-09,36300
1982-07-10,36360
1982-07-11,36360
1982-07-12,36420
1982-07-13,36480
1982-07-14,36540
1982-07-15,36540
1982-07-16,36660
1982-07-17,36720
1982-07-18,36780
1982-07-19,36840
1982-07-20,36900
1982-07-21,36960
1982-07-22,37080
1982-07-23,37080
1982-07-24,37200
1982-07-25,37200
1982-07-26,37320
1982-07-27,37440
1982-07-28,37440
1982-07-29,37560
1982-07-30,37680
1982-07-31,37680
1982-08-01,37800
1982-08-02,37920
1982-08-03,37980
1982-08-04,38100
1982-08-05,38160
1982-08-06,38220
1982-08-07,38340
1982-08-08,38460
1982-08-09,38520
1982-08-10,38640
1982-08-11,38760
1982-08-12,38820
1982-08-13,38940
1982-08-14,39060
1982-08-15,39120
1982-08-16,39240
1982-08-17,39360
1982-08-18,39420
1982-08-19,39540
1982-08-20,39660
1982-08-21,39780
1982-08-22,39900
1982-08-23,40020
1982-08-24,40080
1982-08-25,40200
1982-08-26,40260
1982-08-27,40440
1982-08-28,40560
1982-08-29,40620
1982-08-30,40740
1982-08-31,40860
1982-09-01,40980
1982-09-02,41100
1982-09-03,41160
1982-09-04,41340
1982-09-05,41460
1982-09-06,41520
1982-09-07,41640
1982-09-08,41820
1982-09-09,41880
1982-09-10,42000
1982-09-11,42120
1982-09-12,42240
1982-09-13,42360
1982-09-14,42480
1982-09-15,42600
1982-09-16,42720
1982-09-17,42840
1982-09-18,42960
1982-09-19,43020
1982-09-20,43200
1982-09-21,43320
1982-09-22,43380
1982-09-23,43560
1982-09-24,43680
1982-09-25,43740
1982-09-26,43920
1982-09-27,44040
1982-09-28,44100
1982-09-29,44280
1982-09-30,44400
1982-10-01,44460
1982-10-02,44640
1982-10-03,44760
1982-10-04,44820
1982-10-05,45000
1982-10-06,45120
1982-10-07,45180
1982-10-08,45300
1982-10-09,45480
1982-10-10,45600
1982-10-11,45660
1982-10-12,45780
1982-10-13,45960
1982-10-14,46020
1982-10-15,46140
1982-10-16,46260
1982-10-17,46380
1982-10-18,46560
1982-10-19,46620
1982-10-20,46740
1982-10-21,46860
1982-10-22,46980
1982-10-23,47040
1982-10-24,47160
1982-10-25,47280
1982-10-26,47400
1982-10-27,47520
1982-10-28,47640
1982-10-29,47700
1982-10-30,47820
1982-10-31,47940
1982-11-01,48060
1982-11-02,48180
1982-11-03,48300
1982-11-04,48420
1982-11-05,48480
1982-11-06,48600
1982-11-07,48660
1982-11-08,48780
1982-11-09,48900
1982-11-10,49020
1982-11-11,49080
1982-11-12,49200
1982-11-13,49320
1982-11-14,49380
1982-11-15,49500
1982-11-16,49500
1982-11-17,49620
1982-11-18,49740
1982-11-19,49800
1982-11-20,49860
1982-11-21,49980
1982-11-22,50040
1982-11-23,50160
1982-11-24,50220
1982-11-25,50280
1982-11-26,50400
1982-11-27,50400
1982-11-28,50460
1982-11-29,50520
1982-11-30,50580
1982-12-01,50700
1982-12-02,50760
1982-12-03,50820
1982-12-04,50820
1982-12-05,50880
1982-12-06,50940
1982-12-07,51000
1982-12-08,51060
1982-12-09,51000
1982-12-10,51060
1982-12-11,51120
1982-12-12,51120
1982-12-13,51180
1982-12-14,51180
1982-12-15,51180
1982-12-16,51240
1982-12-17,51240
1982-12-18,51240
1982-12-19,51300
1982-12-20,51240
1982-12-21,51300
1982-12-22,51240
1982-12-23,51300
1982-12-24,51240
1982-12-25,51300
1982-12-26,51240
1982-12-27,51180
1982-12-28,51240
1982-12-29,51180
1982-12-30,51180
1982-12-31,51180
1983-01-01,51120
1983-01-02,51060
1983-01-03,51060
1983-01-04,51000
1983-01-05,50940
1983-01-06,50940
1983-01-07,50880
1983-01-08,50880
1983-01-09,50820
1983-01-10,50760
1983-01-11,50640
1983-01-12,50580
1983-01-13,50520
1983-01-14,50460
1983-01-15,50400
1983-01-16,50400
1983-01-17,50280
1983-01-18,50220
1983-01-19,50160
1983-01-20,50040
1983-01-21,49980
1983-01-22,49920
1983-01-23,49800
1983-01-24,49740
1983-01-25,49620
1983-01-26,49560
1983-01-27,49440
1983-01-28,49380
1983-01-29,49260
1983-01-30,49140
1983-01-31,49080
1983-02-01,48960
1983-02-02,48840
1983-02-03,48780
1983-02-04,48720
1983-02-05,48600
1983-02-06,48480
1983-02-07,48420
1983-02-08,48300
1983-02-09,48180
1983-02-10,48060
1983-02-11,47940
1983-02-12,47820
1983-02-13,47700
1983-02-14,47580
1983-02-15,47460
1983-02-16,47400
1983-02-17,47280
1983-02-18,47160
1983-02-19,47040
1983-02-20,46920
1983-02-21,46800
1983-02-22,46680
1983-02-23,46560
1983-02-24,46500
1983-02-25,46380
1983-02-26,46200
1983-02-27,46080
1983-02-28,45960
1983-03-01,45900
1983-03-02,45780
1983-03-03,45660
1983-03-04,45480
1983-03-05,45360
1983-03-06,45300
1983-03-07,45180
1983-03-08,45000
1983-03-09,44880
1983-03-10,44820
1983-03-11,44700
1983-03-12,44520
1983-03-13,44400
1983-03-14,44340
1983-03-15,44220
1983-03-16,44040
1983-03-17,43920
1983-03-18,43860
1983-03-19,43680
1983-03-20,43560
1983-03-21,43500
1983-03-22,43320
1983-03-23,43200
