time,pr_daily,pr
2000-01-13 11:00:00,79.19231,2.1614707
2000-01-13 12:00:00,79.19231,2.4229176
2000-01-13 13:00:00,79.19231,2.6065078
2000-01-13 14:00:00,79.19231,2.86931
2000-01-13 15:00:00,79.19231,3.5591063
2000-01-13 16:00:00,79.19231,4.149579
2000-01-13 17:00:00,79.19231,4.7648416
2000-01-13 18:00:00,79.19231,5.487425
2000-01-13 19:00:00,79.19231,6.0956373
2000-01-13 20:00:00,79.19231,6.822942
2000-01-13 21:00:00,79.19231,7.381917
2000-01-13 22:00:00,79.19231,7.900006
2000-01-13 23:00:00,79.19231,8.350844
2000-01-14 00:00:00,338.1963,8.661747
2000-01-14 01:00:00,338.1963,0.21801898
2000-01-14 02:00:00,338.1963,0.38715556
2000-01-14 03:00:00,338.1963,0.4751727
2000-01-14 04:00:00,338.1963,0.5489497
2000-01-14 05:00:00,338.1963,0.6120881
2000-01-14 06:00:00,338.1963,0.6466845
2000-01-14 07:00:00,338.1963,0.8214508
2000-01-14 08:00:00,338.1963,1.1445502
2000-01-14 09:00:00,338.1963,1.5647501
2000-01-14 10:00:00,338.1963,2.1649377
2000-01-14 11:00:00,338.1963,3.1306946
2000-01-14 12:00:00,338.1963,5.0741467
2000-01-14 13:00:00,338.1963,8.120455
2000-01-14 14:00:00,338.1963,11.473788
2000-01-14 15:00:00,338.1963,15.631413
2000-01-14 16:00:00,338.1963,21.562567
2000-01-14 17:00:00,338.1963,26.661652
2000-01-14 18:00:00,338.1963,30.840443
2000-01-14 19:00:00,338.1963,33.824234
2000-01-14 20:00:00,338.1963,36.894363
2000-01-14 21:00:00,338.1963,40.15599
2000-01-14 22:00:00,338.1963,42.82444
2000-01-14 23:00:00,338.1963,44.756603
2000-01-15 00:00:00,320.1831,46.703888
2000-01-15 01:00:00,320.1831,1.9164925
2000-01-15 02:00:00,320.1831,3.4904609
2000-01-15 03:00:00,320.1831,4.8253355
2000-01-15 04:00:00,320.1831,5.874573
2000-01-15 05:00:00,320.1831,6.977541
2000-01-15 06:00:00,320.1831,7.9046683
2000-01-15 07:00:00,320.1831,9.117899
2000-01-15 08:00:00,320.1831,10.208138
2000-01-15 09:00:00,320.1831,11.181787
2000-01-15 10:00:00,320.1831,11.916544
2000-01-15 11:00:00,320.1831,12.430945
2000-01-15 12:00:00,320.1831,12.833986
2000-01-15 13:00:00,320.1831,13.153211
2000-01-15 14:00:00,320.1831,13.759485
2000-01-15 15:00:00,320.1831,14.719991
2000-01-15 16:00:00,320.1831,15.482246
2000-01-15 17:00:00,320.1831,16.115015
2000-01-15 18:00:00,320.1831,16.504564
2000-01-15 19:00:00,320.1831,16.702839
2000-01-15 20:00:00,320.1831,16.925995
2000-01-15 21:00:00,320.1831,17.05942
2000-01-15 22:00:00,320.1831,17.179003
2000-01-15 23:00:00,320.1831,17.19908
2000-01-16 00:00:00,135.85234,17.203983
2000-01-16 01:00:00,135.85234,0.0023791678
2000-01-16 02:00:00,135.85234,0.002488736
2000-01-16 03:00:00,135.85234,0.0025700368
2000-01-16 04:00:00,135.85234,0.0026575215
2000-01-16 05:00:00,135.85234,0.0027634613
2000-01-16 06:00:00,135.85234,0.0029038377
2000-01-16 07:00:00,135.85234,0.008084189
2000-01-16 08:00:00,135.85234,0.013399772
2000-01-16 09:00:00,135.85234,0.019589555
2000-01-16 10:00:00,135.85234,0.029862411
2000-01-16 11:00:00,135.85234,0.05902724
2000-01-16 12:00:00,135.85234,0.28903776
2000-01-16 13:00:00,135.85234,0.73656785
2000-01-16 14:00:00,135.85234,1.619555
2000-01-16 15:00:00,135.85234,3.049955
2000-01-16 16:00:00,135.85234,5.192449
2000-01-16 17:00:00,135.85234,7.5630913
2000-01-16 18:00:00,135.85234,9.3519745
2000-01-16 19:00:00,135.85234,11.698008
2000-01-16 20:00:00,135.85234,14.562914
2000-01-16 21:00:00,135.85234,18.022991
2000-01-16 22:00:00,135.85234,21.828869
2000-01-16 23:00:00,135.85234,24.587225
2000-01-17 00:00:00,433.61432,27.145327
2000-01-17 01:00:00,433.61432,2.7988963
2000-01-17 02:00:00,433.61432,5.975963
2000-01-17 03:00:00,433.61432,8.876934
