time,reanalysis,xgboost,cnn,naive,lstm
2017-06-29,39.643323473766635,46.180389404296875,36.53591537475586,41.788598719054505,41.19643783569336
2017-06-30,108.06488298609925,98.1941909790039,85.89814758300781,77.94373778663402,98.96109771728516
2017-07-01,116.07513210112567,125.10894012451172,114.53864288330078,102.54411271712354,113.1683578491211
2017-07-02,137.55610582294779,132.48483276367188,120.07324981689453,126.09938251944928,130.12936401367188
2017-07-03,139.00956983691808,131.73094177246094,112.04132080078125,99.32559872451577,127.875244140625
2017-07-04,136.22340058885476,123.14739990234375,111.57315826416016,89.89757995706725,123.78974151611328
2017-07-05,102.94430025065122,91.36449432373047,103.74016571044922,96.60282620709779,109.70989990234375
2017-07-06,80.48974704720439,67.5539779663086,71.74323272705078,114.72994663702426,67.15186309814453
2017-07-07,67.77042855562006,60.02204513549805,58.83747482299805,74.52304219912196,60.39528274536133
2017-07-08,72.99769332986806,57.32045364379883,55.93906021118164,49.10552316768383,57.89268112182617
2017-07-09,81.84464916314629,65.7720718383789,50.264957427978516,59.586050010215445,56.39223861694336
2017-07-10,63.39527062459021,62.1794548034668,43.147193908691406,68.70203415587105,51.99733352661133
2017-07-11,74.10491124660567,73.37367248535156,68.8147964477539,133.00463075610983,62.107120513916016
2017-07-12,86.00275978112565,99.44450378417969,90.75994110107422,124.10715893476313,88.19828796386719
2017-07-13,130.07355328807645,126.41106414794922,106.55261993408203,112.20940733888725,93.83756256103516
2017-07-14,94.97823348737342,97.96014404296875,120.11363983154297,138.1085086187633,92.96468353271484
2017-07-15,94.88297867626285,86.34354400634766,92.48384857177734,146.58795768950236,92.6041259765625
2017-07-16,33.88773886595525,74.811279296875,63.98531723022461,58.27680405047806,66.68360137939453
2017-07-17,141.93281776908393,126.4169692993164,110.40074920654297,114.21419620270368,122.7934341430664
2017-07-18,153.25865970084783,146.4556427001953,142.40579223632812,127.06771039687933,148.2716064453125
2017-07-19,153.23247070245398,150.71151733398438,157.47149658203125,146.7565659642552,156.3366241455078
2017-07-20,152.64973700248922,146.84811401367188,160.53018188476562,150.49417462584475,157.77865600585938
2017-07-21,143.21022230483337,142.33934020996094,131.8959503173828,142.3709169341984,141.26461791992188
2017-07-22,149.22029473275592,150.01315307617188,139.25482177734375,156.65903485595132,142.9169921875
2017-07-23,119.14320682804747,126.6009292602539,124.22489166259766,163.49047446790806,140.69488525390625
2017-07-24,70.69730618384678,90.52881622314453,80.3887939453125,134.88304461328894,103.85157012939453
2017-07-25,70.9347849516908,85.6358642578125,85.77080535888672,128.65442363403977,109.94711303710938
2017-07-26,87.90713116236846,73.20336151123047,70.3222427368164,76.61929293272453,73.9280014038086
2017-07-27,141.68988347470966,123.92389678955078,119.4760513305664,124.149571371083,119.09366607666016
2017-07-28,154.11052218480015,151.39405822753906,125.13231658935547,140.80120810114036,124.87277221679688
2017-07-29,146.66872959915102,152.26246643066406,135.8431396484375,148.09388621903796,130.77024841308594
2017-07-30,101.15214056620128,103.51488494873047,120.51459503173828,148.49169813615313,120.22840118408203
2017-07-31,43.63310487771539,92.3487777709961,88.44036102294922,113.51203530599574,88.43059539794922
2017-08-01,56.81078094857011,77.95838165283203,58.79317855834961,37.79244957937874,67.21171569824219
2017-08-02,61.12465412485346,51.69898986816406,44.86294937133789,43.8420616739196,51.85834884643555
2017-08-03,156.68593705731038,139.0866241455078,142.28887939453125,139.94526384417728,143.21701049804688
2017-08-04,167.99807015970063,170.8145751953125,163.53298950195312,159.59345455276085,146.98007202148438
2017-08-05,173.60647910363346,173.36146545410156,145.99774169921875,157.35405719612677,158.01986694335938
2017-08-06,161.97587861043715,161.43785095214844,126.09400177001953,157.82158087318854,142.74658203125
2017-08-07,129.93067175781303,96.09845733642578,87.22888946533203,123.6167088571739,82.43577575683594
2017-08-08,113.25659211436509,81.30806732177734,67.69271087646484,60.58612825515513,52.991275787353516
2017-08-09,114.65518649071913,133.69979858398438,107.91422271728516,101.25064551210846,99.40518951416016
2017-08-10,100.18748019777911,79.92193603515625,91.8128890991211,64.1749292483047,84.35816192626953
2017-08-11,61.16975076464163,35.85450744628906,24.781967163085938,0,34.511016845703125
2017-08-12,28.772500459843442,25.36941909790039,39.374576568603516,0,26.405458450317383
2017-08-13,106.72316254246317,102.66095733642578,98.56983184814453,120.3346730592431,100.9850845336914
2017-08-14,184.559187182095,155.61692810058594,161.95726013183594,162.39452276759872,173.8897705078125
2017-08-15,190.1453882617401,154.86997985839844,164.38340759277344,169.6819566486312,175.44284057617188
2017-08-16,191.58509951658104,156.8192596435547,182.71673583984375,201.80261452830487,181.41070556640625
2017-08-17,192.19760935404975,190.04396057128906,189.08145141601562,213.95608058928624,204.51861572265625
2017-08-18,195.39884752560144,185.9665985107422,181.23587036132812,200.78288970798636,179.03656005859375
2017-08-19,92.01410342635243,93.92082214355469,78.71442413330078,119.33649390053793,101.93318939208984
2017-08-20,198.16202915621412,168.0230255126953,185.28909301757812,171.76967408676242,171.80026245117188
2017-08-21,199.4323829661812,193.765625,213.21673583984375,189.1708404747034,200.40634155273438
2017-08-22,204.7944722789447,195.82717895507812,216.79376220703125,178.47523892696987,196.62896728515625
2017-08-23,186.2308750028844,190.931640625,177.13125610351562,163.47808416549665,179.9265594482422
2017-08-24,116.60631972405032,100.41381072998047,102.20655822753906,80.75847705895751,100.29926300048828
2017-08-25,119.55993684542148,101.59245300292969,89.47364807128906,75.09985458166477,87.30415344238281
2017-08-26,59.921772301155755,75.72965240478516,85.09427642822266,63.530619647076605,66.74774932861328
2017-08-27,116.15827740052934,129.09539794921875,118.59680938720703,121.318088414958,114.90589141845703
2017-08-28,130.0741408485583,132.45059204101562,124.58271026611328,149.48395351012473,127.30056762695312
2017-08-29,94.48068782045026,97.268341064453125,66.48442077636719,134.13962616538007,82.11994934082031
2017-08-30,165.9385375086844,166.07339477539062,151.47088623046875,146.34632527780118,152.01905822753906
2017-08-31,217.7258232274107,205.90977478027344,208.1610107421875,204.2646729117852,209.2143096923828
2017-09-01,180.06792977089697,158.71327209472656,194.30447387695312,186.43594131025782,198.77162170410156
2017-09-02,190.24907621313127,199.29348754882812,182.0689697265625,182.79940716391536,205.48165893554688
2017-09-03,148.90632876909947,170.81784057617188,198.7032470703125,185.15707505556418,189.5535888671875
2017-09-04,53.566832072084196,74.5396957397461,65.928466796875,81.99787835473069,97.3099594116211
2017-09-05,152.97226103166892,135.5427703857422,121.9075927734375,166.42614380992597,152.9965362548828
2017-09-06,160.48172603309757,175.3308868408203,131.35060119628906,178.1489248161073,174.40731811523438
2017-09-07,119.4040754451673,128.97740173339844,119.34884643554688,207.22032405813695,103.44768524169922
2017-09-08,113.08199879173924,132.00599670410156,124.61618041992188,147.96465095498968,130.02645874023438
2017-09-09,127.95916060907801,114.552734375,116.92949676513672,111.48335135359264,109.83824920654297
2017-09-10,86.21614994201798,80.8814697265625,77.83983612060547,84.44471694359379,69.49730682373047
2017-09-11,159.67081431824366,129.8502197265625,144.94744873046875,114.24998518131395,146.486328125
2017-09-12,185.3000364279009,184.41946411132812,161.44647216796875,167.50663542462496,175.6170654296875
2017-09-13,59.74591462524999,69.15363311767578,59.984798431396484,67.93377656871996,67.31464385986328
2017-09-14,146.80059025196485,107.27400207519531,45.97650909423828,68.13959027552335,78.61246490478516
2017-09-15,211.69218385838485,200.23095703125,110.54935455322266,157.77489625232954,155.30270385742188
